Step	,episode.rwd	,episode.q	,episode.loss	,epsilon	,time
55250	,2	,9.60390008986	,0.700343771545	0.94475	,842.287357092
55446	,1	,8.21816583723	,0.56044589703	0.944554	,845.087346077
55661	,2	,9.01165036857	,0.699945947	0.944339	,848.351075888
55950	,5	,11.8948452622	,0.949092747512	0.94405	,852.73743391
56307	,5	,15.3147572856	,1.38283302797	0.943693	,858.189965963
56502	,2	,8.70849237964	,0.899932859954	0.943498	,861.255175114
56881	,5	,15.9099608883	,1.18250816607	0.943119	,867.609685898
57150	,3	,11.4526699465	,0.886917482166	0.94285	,871.751419067
57360	,2	,8.84893011302	,0.668997996766	0.94264	,874.972881079
57564	,2	,8.32119758427	,0.468084246523	0.942436	,878.142496109
57758	,2	,8.1546426639	,0.684238923279	0.942242	,881.141478062
57891	,0	,5.70983055606	,0.435740131454	0.942109	,883.036072016
58051	,0	,6.67573827133	,0.482542546763	0.941949	,885.631222963
58237	,1	,7.92639045231	,0.653193981816	0.941763	,888.691245079
58437	,2	,8.73551870324	,0.823615162945	0.941563	,891.852828026
58623	,2	,8.09682777524	,0.69876736607	0.941377	,894.71863389
58796	,1	,7.32141438313	,0.606504697604	0.941204	,897.287617922
58979	,1	,7.75257889181	,0.575518025612	0.941021	,900.139090061
59120	,0	,5.96481163986	,0.420736585545	0.94088	,902.249567986
59394	,4	,11.561222069	,0.933062533688	0.940606	,906.104856014
59576	,1	,7.76113471575	,0.60673870831	0.940424	,909.073206902
59779	,2	,8.54082781821	,0.638417900482	0.940221	,912.138142109
60038	,3	,11.5557002854	,1.10312643994	0.939962	,915.928169012
60270	,2	,12.0790984444	,0.871630408547	0.93973	,919.570214987
60448	,1	,9.16652962007	,0.637798346674	0.939552	,922.264368057
60607	,0	,8.516153384	,0.637141535565	0.939393	,924.799715042
60750	,0	,7.3826080095	,0.514001205308	0.93925	,926.933443069
60951	,2	,10.0118823722	,0.514448095365	0.939049	,929.867033005
61080	,0	,6.4778647013	,0.358786157874	0.93892	,931.832591057
61322	,3	,12.4124274049	,0.839731785866	0.938678	,935.336076975
61554	,2	,12.0341550447	,0.793483150891	0.938446	,938.580658913
61889	,5	,16.8351321109	,1.13675439755	0.938111	,943.333141088
62052	,1	,8.20204824209	,0.529902873553	0.937948	,945.827783108
62297	,3	,11.9794025011	,0.608970112261	0.937703	,949.255527973
62479	,1	,9.17644530535	,0.498691027085	0.937521	,951.814693928
62636	,1	,8.36028147116	,0.652414057999	0.937364	,954.1550529
62817	,1	,9.27772828937	,0.530163450334	0.937183	,956.786695957
62973	,1	,7.95841179788	,0.544360962099	0.937027	,959.004501104
63106	,0	,6.82110568509	,0.466898464911	0.936894	,960.972223997
63234	,0	,6.63150566444	,0.420568701129	0.936766	,962.87490797
63439	,2	,10.4049400277	,0.638770963119	0.936561	,965.749691963
63639	,1	,10.2262631077	,0.638315841212	0.936361	,968.655416965
